brand,url,sku,name,description,price,currency,images,scraped_at,terms,section,error,image_downloads
Zara,https://www.zara.com/us/en/contrasting-cuff-blazer-p02322594.html,337805678-401-1,CONTRASTING CUFF BLAZER,"Blazer with lapel collar, long sleeves, shoulder pads, and contrasting cuffs. Front double breasted buttoned closure.",89.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2322/594/401/3/w/1920/2322594401_1_1_1.jpg?ts=1705334587637', 'https://static.zara.net/photos///2024/V/0/1/p/2322/594/401/2/w/1920/2322594401_6_1_1.jpg?ts=1705060491424', 'https://static.zara.net/photos///2024/V/0/1/p/2322/594/401/2/w/1920/2322594401_6_2_1.jpg?ts=1705060490657', 'https://static.zara.net/photos///2024/V/0/1/p/2322/594/401/2/w/1920/2322594401_6_3_1.jpg?ts=1705060492261', 'https://static.zara.net/photos///2024/V/0/1/p/2322/594/401/2/w/1920/2322594401_6_4_1.jpg?ts=1705060493030', 'https://static.zara.net/photos///2024/V/0/1/p/2322/594/401/2/w/1920/2322594401_6_5_1.jpg?ts=1705060492335']",2024-02-19 9:03:04,blazers,WOMAN,,"['f9321f2a-88c7-49b7-bfd6-11f9031ae9cf', '84ff31b5-9644-42c0-be57-9f0584dd25f7', '2272187c-f9ac-4627-b990-9e9a86df2dd3', '3a1b626d-10dc-4338-a122-e8e67e34fa76', 'b8b1ead0-3525-4596-8cdc-d73f82ea63c6', 'c85050a2-0cca-4618-b74c-444add64871d']"
Zara,https://www.zara.com/us/en/fitted-shoulder-pad-blazer-p02191600.html,318820309-251-1,FITTED SHOULDER PAD BLAZER,Jacket with lapel collar and long sleeves with shoulder pads. Front flap pockets. Front button closure.,99.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_1_1_1.jpg?ts=1706548136231', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_2_1_1.jpg?ts=1706548136508', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_2_2_1.jpg?ts=1706548136223', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_2_3_1.jpg?ts=1706548136403', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_2_4_1.jpg?ts=1706548138121', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_6_1_1.jpg?ts=1706184161203', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_6_2_1.jpg?ts=1706184161844', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_6_3_1.jpg?ts=1706184164449', 'https://static.zara.net/photos///2024/V/0/1/p/2191/600/251/2/w/1920/2191600251_6_4_1.jpg?ts=1706184163617']",2024-02-19 9:03:05,blazers,WOMAN,,"['85ee2ac6-b4bb-446c-bfde-771f78ac63b9', '52462927-50cc-45ba-a339-c62a698a25a9', 'bea8fef5-1e8c-4124-aa65-c645d7c5b8e9', '63f603de-1807-454d-b68c-070ddcd84b79', '09416184-e9a1-41a8-bfd4-a52c66f013a0', '812bdc15-b581-4771-83ef-abc10798ecde', 'f19732a4-602c-452a-bec2-35ba935278f2', '0b9790c0-37aa-4849-8169-580aa4dc6ddf', '08648f08-1348-47a8-8272-c83cac647e40']"
Zara,https://www.zara.com/us/en/patch-pocket-cropped-blazer-p01608135.html,322407666-811-1,PATCH POCKET CROPPED BLAZER,Cropped blazer with lapel collar and long sleeves. Front patch pocket with flap. Front hidden button closure.,69.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/1608/135/811/2/w/1920/1608135811_1_1_1.jpg?ts=1707994440249', 'https://static.zara.net/photos///2024/V/0/1/p/1608/135/811/2/w/1920/1608135811_2_1_1.jpg?ts=1707994439997', 'https://static.zara.net/photos///2024/V/0/1/p/1608/135/811/2/w/1920/1608135811_6_1_1.jpg?ts=1707930320386', 'https://static.zara.net/photos///2024/V/0/1/p/1608/135/811/2/w/1920/1608135811_6_2_1.jpg?ts=1707930317131', 'https://static.zara.net/photos///2024/V/0/1/p/1608/135/811/2/w/1920/1608135811_6_3_1.jpg?ts=1707930323589', 'https://static.zara.net/photos///2024/V/0/1/p/1608/135/811/2/w/1920/1608135811_6_4_1.jpg?ts=1707930320193']",2024-02-19 9:03:06,blazers,WOMAN,,"['a97b3079-14f4-4290-ae60-5db252e021e5', '73ef3565-9066-4e53-a65b-f484cf148872', 'b91ded4e-61f1-4cd8-8713-43acf5d2a28e', '1b919502-a68f-4669-b2e3-140187af6e0c', 'b7d4942b-ada0-4fc4-8110-bc78371d01c4', '68f633ef-cc97-4c92-bf7c-a2c5c2b98738']"
Zara,https://www.zara.com/us/en/cropped-blazer-with-shoulder-pads-p02753126.html,311309621-800-1,CROPPED BLAZER WITH SHOULDER PADS,Cropped blazer with lapel collar and long sleeves with shoulder pads. Single button front closure.,69.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2753/126/800/2/w/1920/2753126800_1_1_1.jpg?ts=1707483253782', 'https://static.zara.net/photos///2024/V/0/1/p/2753/126/800/2/w/1920/2753126800_2_1_1.jpg?ts=1707483254949', 'https://static.zara.net/photos///2024/V/0/1/p/2753/126/800/2/w/1920/2753126800_2_2_1.jpg?ts=1707483254015', 'https://static.zara.net/photos///2024/V/0/1/p/2753/126/800/2/w/1920/2753126800_6_1_1.jpg?ts=1707467808702', 'https://static.zara.net/photos///2024/V/0/1/p/2753/126/800/2/w/1920/2753126800_6_2_1.jpg?ts=1707467808406', 'https://static.zara.net/photos///2024/V/0/1/p/2753/126/800/2/w/1920/2753126800_6_4_1.jpg?ts=1707467808710']",2024-02-19 9:03:07,blazers,WOMAN,,"['59221d5e-d1a7-4499-95ab-f675641b71ac', 'bc53d5fd-f9a0-4a1d-8b7f-bf05a2712287', '5137e8e7-7198-4392-b641-07a58a2ea76a', '5746f421-0bf1-46df-8a27-321abdc11eea', '7396ca03-3a54-4a58-8025-0543d0b9494e', '9d864be4-52e0-40b0-9393-6017f6100506']"
Zara,https://www.zara.com/us/en/structured-round-neck-blazer-p02254100.html,321357134-712-1,STRUCTURED ROUND NECK BLAZER,Blazer with round collar and long sleeves. Front false welt pockets. Front button closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2254/100/712/2/w/1920/2254100712_1_1_1.jpg?ts=1705671462294', 'https://static.zara.net/photos///2024/V/0/1/p/2254/100/712/2/w/1920/2254100712_6_1_1.jpg?ts=1705509667558', 'https://static.zara.net/photos///2024/V/0/1/p/2254/100/712/2/w/1920/2254100712_6_2_1.jpg?ts=1705509669806', 'https://static.zara.net/photos///2024/V/0/1/p/2254/100/712/2/w/1920/2254100712_6_3_1.jpg?ts=1705509667153', 'https://static.zara.net/photos///2024/V/0/1/p/2254/100/712/2/w/1920/2254100712_6_4_1.jpg?ts=1705509671273']",2024-02-19 9:03:08,blazers,WOMAN,,"['5f27a2b7-5c4b-47ca-85a3-ba946b2c6ffe', 'dfcf64c8-1154-47ba-918d-13307faecb3b', '9429f439-2a4b-4f89-946f-e4865f652d12', '553409a0-571f-4580-924e-54085b564d2f', 'afac36d1-3538-4277-83b8-7fdc99959bef']"
Zara,https://www.zara.com/us/en/double-breasted-cropped-twill-blazer-p02258103.html,323746838-044-1,DOUBLE BREASTED CROPPED TWILL BLAZER,Blazer with lapel collar and long sleeves with shoulder pads. Front double breasted button closure.,99.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2258/103/044/2/w/1920/2258103044_1_1_1.jpg?ts=1705671462738', 'https://static.zara.net/photos///2024/V/0/1/p/2258/103/044/2/w/1920/2258103044_2_1_1.jpg?ts=1705671462680', 'https://static.zara.net/photos///2024/V/0/1/p/2258/103/044/2/w/1920/2258103044_6_1_1.jpg?ts=1705509670328', 'https://static.zara.net/photos///2024/V/0/1/p/2258/103/044/2/w/1920/2258103044_6_2_1.jpg?ts=1705509670267', 'https://static.zara.net/photos///2024/V/0/1/p/2258/103/044/2/w/1920/2258103044_6_3_1.jpg?ts=1705509671694', 'https://static.zara.net/photos///2024/V/0/1/p/2258/103/044/2/w/1920/2258103044_6_4_1.jpg?ts=1705509671917']",2024-02-19 9:03:09,blazers,WOMAN,,"['a13e13ae-2e66-450b-bb49-278faf8eda41', 'b1ab1ef2-2095-451a-b8d7-943c7500de45', '7fff7d54-e45b-445e-8e96-5566bad34a20', '402c248c-3993-43ad-be76-d9afb92dfc3f', 'c0978f82-b5d6-486c-961e-ac2416c0a0dc', 'fab070e2-3569-4cc0-9976-06c88eb7be7a']"
Zara,https://www.zara.com/us/en/double-faced-fitted-blazer-zw-collection-p07522044.html,319438168-916-1,DOUBLE FACED FITTED BLAZER ZW COLLECTION,"ZARA WOMAN COLLECTION

Fitted blazer made of wool blend fabric. Notched lapel collar and long sleeves. Front patch pockets. Front button closure.",139,USD,"['https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_2_3_1.jpg?ts=1705665064245', 'https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_6_1_1.jpg?ts=1705925614338', 'https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_6_2_1.jpg?ts=1705659352825', 'https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_6_3_1.jpg?ts=1705659355312', 'https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_6_4_1.jpg?ts=1705659352895', 'https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_6_5_1.jpg?ts=1705659353204', 'https://static.zara.net/photos///2024/V/0/1/p/7522/044/916/2/w/1920/7522044916_6_6_1.jpg?ts=1705659355290']",2024-02-19 9:03:10,blazers,WOMAN,,"['2c159062-79dc-4cd5-9d20-06df1ca99d7c', 'bb5d0420-c9b7-4d96-93cd-6f9d39bd4c5e', '77a5e2ef-b0a7-4c6b-bc21-b67d0d552f82', 'b1a2ab21-ae23-4871-9109-e40809a38ce8', '3cd1a1d9-556f-491a-9767-70386692be55', 'ca8afda2-5c4c-4718-905d-0789a2b45219', '88b9648f-aca9-4f21-bc5a-cea5b176dfb6']"
Zara,https://www.zara.com/us/en/fitted-textured-blazer-p02438521.html,329376602-400-1,FITTED TEXTURED BLAZER,Round collar blazer with long sleeves with shoulder pads. Tailored waist and false front metal buttons. Front welt pockets. Front hidden hook closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_1_1_1.jpg?ts=1707127353237', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_2_1_1.jpg?ts=1707127353310', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_2_2_1.jpg?ts=1707127353251', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_2_3_1.jpg?ts=1707127353238', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_6_1_1.jpg?ts=1706798694761', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_6_2_1.jpg?ts=1706798695299', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_6_3_1.jpg?ts=1706798695107', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_6_4_1.jpg?ts=1706798696022', 'https://static.zara.net/photos///2024/V/0/1/p/2438/521/400/2/w/1920/2438521400_6_5_1.jpg?ts=1706798694524']",2024-02-19 9:03:10,blazers,WOMAN,,"['4609f090-92f1-46e5-b9d1-009174f30931', '5c7d13d7-d911-4595-b1f9-288223c3060c', 'b3718baa-6dcc-432f-afec-38247d0f6400', '3075f09c-35ff-4b23-8303-25a9c027e7ae', '49f88039-d972-41b7-a72e-e392badfd746', 'e4679343-fa7c-42b9-8531-7ea293abd540', '4fbdfa39-d349-4978-be8f-b5f344992199', '93c443fd-c0a4-44cb-8131-5905087e59ce', 'eedc64e7-365c-4f11-b3e6-20b6134b3a7c']"
Zara,https://www.zara.com/us/en/minimalist-fitted-blazer-zw-collection-p02247178.html,343794703-632-1,MINIMALIST FITTED BLAZER ZW COLLECTION,"ZARA WOMAN COLLECTION

Fitted blazer with notched lapel collar and long sleeves. Front patch pockets. Tonal interior lining. Front button closure.",109,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2247/178/632/4/w/1920/2247178632_1_1_1.jpg?ts=1706799262855', 'https://static.zara.net/photos///2024/V/0/1/p/2247/178/632/4/w/1920/2247178632_2_1_1.jpg?ts=1706799263357', 'https://static.zara.net/photos///2024/V/0/1/p/2247/178/632/4/w/1920/2247178632_2_2_1.jpg?ts=1706799263132', 'https://static.zara.net/photos///2024/V/0/1/p/2247/178/632/4/w/1920/2247178632_2_3_1.jpg?ts=1706799263459', 'https://static.zara.net/photos///2024/V/0/1/p/2247/178/632/2/w/1920/2247178632_6_1_1.jpg?ts=1706716231723', 'https://static.zara.net/photos///2024/V/0/1/p/2247/187/632/2/w/1920/2247187632_6_2_1.jpg?ts=1704975183616', 'https://static.zara.net/photos///2024/V/0/1/p/2247/187/632/2/w/1920/2247187632_6_3_1.jpg?ts=1704975184254', 'https://static.zara.net/photos///2024/V/0/1/p/2247/187/632/2/w/1920/2247187632_6_4_1.jpg?ts=1704975184289', 'https://static.zara.net/photos///2024/V/0/1/p/2247/187/632/2/w/1920/2247187632_6_5_1.jpg?ts=1704975184253', 'https://static.zara.net/photos///2024/V/0/1/p/2247/187/632/2/w/1920/2247187632_6_6_1.jpg?ts=1704975184369']",2024-02-19 9:03:11,blazers,WOMAN,,"['18f2fbc4-2a55-44c5-b845-2028c9d54a9f', 'e740cdc3-5d49-40eb-8ed0-f9e74eb2390f', '098ec257-34f7-4a0c-b1d8-32258ad836ce', 'ff17c8d6-d139-4581-ae9f-ea6c0b4b4d85', 'f2989227-8311-4c10-ad21-83aef8e9c825', '21b2ee47-1fd3-4f85-934c-0dc7f0415dbe', '9c203540-ae0e-4922-9ef2-2d52c241de45', '30393563-4b9b-4298-af3f-38e7e96c21b4', '99263983-612e-455c-90ca-78133a33d81b', 'b4d105f6-34bd-4aeb-9f50-3598671efe55']"
Zara,https://www.zara.com/us/en/fitted-shoulder-pad-blazer-p02507545.html,330077846-507-1,FITTED SHOULDER PAD BLAZER,Jacket with lapel collar and long sleeves with shoulder pads. Front flap pockets. Front button closure.,109,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2507/545/507/2/w/1920/2507545507_1_1_1.jpg?ts=1705671462223', 'https://static.zara.net/photos///2024/V/0/1/p/2507/545/507/2/w/1920/2507545507_6_1_1.jpg?ts=1705594206343', 'https://static.zara.net/photos///2024/V/0/1/p/2507/545/507/2/w/1920/2507545507_6_2_1.jpg?ts=1705594209351', 'https://static.zara.net/photos///2024/V/0/1/p/2507/545/507/2/w/1920/2507545507_6_3_1.jpg?ts=1705594209869', 'https://static.zara.net/photos///2024/V/0/1/p/2507/545/507/2/w/1920/2507545507_6_4_1.jpg?ts=1705594209748']",2024-02-19 9:03:12,blazers,WOMAN,,"['4df9f57f-2f0f-42a0-8834-6e64f52c52b8', '67c60d19-e9c9-416e-aef8-6c28fb7a0d03', 'a9acb562-e8e4-4a27-beb0-6ed00effdca1', 'b7aafd49-a7c5-4a57-a8c5-84c747631fd4', '561e4913-a469-4c84-aede-fefd76ecc2c9']"
Zara,https://www.zara.com/us/en/double-breasted-wool-blazer-zw-collection-p02208425.html,321913084-832-1,DOUBLE BREASTED WOOL BLAZER ZW COLLECTION,"ZARA WOMAN COLLECTION

Jacket made of wool blend fabric. Lapel collar and long sleeves with buttoned slit cuffs. Front flap pockets and chest welt pocket. Tonal interior lining. Front double breasted buttoned closure.",169,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_1_1_1.jpg?ts=1705574528996', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_2_1_1.jpg?ts=1705574528953', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_2_2_1.jpg?ts=1705574529042', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_2_3_1.jpg?ts=1705574528962', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_2_4_1.jpg?ts=1705574528956', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_1_1.jpg?ts=1706259190376', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_2_1.jpg?ts=1706259190582', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_3_1.jpg?ts=1706259190617', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_4_1.jpg?ts=1706259190660', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_5_1.jpg?ts=1706259190786', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_6_1.jpg?ts=1706259190597', 'https://static.zara.net/photos///2024/V/0/1/p/2208/425/832/2/w/1920/2208425832_6_7_1.jpg?ts=1706259190731']",2024-02-19 9:03:13,blazers,WOMAN,,"['e0df98f4-1f0b-4484-9466-ac69b78de7bd', '20555b97-83b5-4ff8-a923-5d848dac3166', '199e80e8-3a84-493b-aa53-078d3580b6ed', '69be6c24-01cd-4716-ad95-3ef54099fa85', '5f91ce3c-dade-418a-89de-66930b641c38', '8d1a3be6-3219-4d24-b8e0-acf83f471e23', 'd69250c3-4cbe-470c-93a8-09ddd941395d', '299ab4ad-964f-454c-82e1-f397537848c2', 'f8f5cb73-8e46-401c-8ce2-f1e646d5e2c8', '74fbe443-59c7-4524-b047-ea8d1be122d4', '1361fada-4399-458d-9382-af918b39132d', '2a4232a4-ce58-4b09-adc8-450e92f267dd']"
Zara,https://www.zara.com/us/en/cut-out-blazer-p02554801.html,334700281-800-1,CUT OUT BLAZER,Blazer with lapel collar and long sleeves with shoulder pads. Back cut out detail. Front double breasted buttoned closure.,79.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2554/801/800/2/w/1920/2554801800_1_1_1.jpg?ts=1707224895132', 'https://static.zara.net/photos///2024/V/0/1/p/2554/801/800/2/w/1920/2554801800_2_1_1.jpg?ts=1707224894860', 'https://static.zara.net/photos///2024/V/0/1/p/2554/801/800/2/w/1920/2554801800_6_1_1.jpg?ts=1707213275474', 'https://static.zara.net/photos///2024/V/0/1/p/2554/801/800/2/w/1920/2554801800_6_2_1.jpg?ts=1707213275276', 'https://static.zara.net/photos///2024/V/0/1/p/2554/801/800/2/w/1920/2554801800_6_3_1.jpg?ts=1707213275451', 'https://static.zara.net/photos///2024/V/0/1/p/2554/801/800/2/w/1920/2554801800_6_4_1.jpg?ts=1707213276304']",2024-02-19 9:03:13,blazers,WOMAN,,"['09f4be63-42f2-414c-89ff-fb5432ba0f4a', '12c434d6-00c1-4248-bd49-c358afab0f32', 'd9d197c2-336c-429d-89a8-b9f09b758bab', '03667aa5-ccc0-44a5-9563-30745d0aa3ca', '787741eb-50b1-4b51-b725-419ee2c1e60b', 'b2e2ca77-de3b-44f6-bfa4-afcb65c6ed3a']"
Zara,https://www.zara.com/us/en/-p02010744.html,330431039-251-1,,,69.9,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_1_1_1.jpg?ts=1707929172163', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_2_1_1.jpg?ts=1707929172195', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_2_2_1.jpg?ts=1707929172149', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_2_3_1.jpg?ts=1707929172146', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_2_4_1.jpg?ts=1707929172254', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_6_1_1.jpg?ts=1707900919278', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_6_2_1.jpg?ts=1707900921652', 'https://static.zara.net/photos///2024/V/0/1/p/2010/744/251/2/w/1920/2010744251_6_3_1.jpg?ts=1707900918294']",2024-02-19 9:03:14,blazers,WOMAN,,"['7586db7e-2703-4a9a-b4dc-bd5dad28e64d', 'fd49f6d6-ae2c-4e31-b1bc-25c45fa10823', 'da8098c5-f55e-4e06-8d4b-a5f223a7f489', '62c0d4bc-2d19-4841-a579-d09d09526790', 'f190957b-b84b-4c00-be61-3055b9d5a096', '153d702c-a35b-4da6-8b61-32a78f90f293', '0d56b99f-c6b1-4a65-88aa-bb3147102593', '43eeddfe-7bcb-4239-a763-34957e67f67e']"
Zara,https://www.zara.com/us/en/zw-collection-oversized-wool-blend-jacket-p02295477.html,322654559-800-1,ZW COLLECTION OVERSIZED WOOL BLEND JACKET,"ZARA WOMAN COLLECTION

Full cut blazer made with wool. Notched lapel collar and long sleeves with buttoned slit cuffs. Front flap pockets and chest welt pocket. Tonal interior lining. Front button closure.",159,USD,"['https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_1_1_1.jpg?ts=1705569711005', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_2_1_1.jpg?ts=1705569711017', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_2_2_1.jpg?ts=1705569710994', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_2_3_1.jpg?ts=1705569710999', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_2_4_1.jpg?ts=1705569711001', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_1_1.jpg?ts=1705338959383', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_2_1.jpg?ts=1705338959241', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_3_1.jpg?ts=1705338969259', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_4_1.jpg?ts=1705338971649', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_5_1.jpg?ts=1705338971113', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_6_1.jpg?ts=1705338969999', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_7_1.jpg?ts=1705338963783', 'https://static.zara.net/photos///2024/V/0/1/p/2295/477/800/2/w/1920/2295477800_6_8_1.jpg?ts=1705338969511']",2024-02-19 9:03:15,blazers,WOMAN,,"['947834df-7656-4114-8d17-b7ae2ee2b9db', '3d5ec474-51f2-4071-be15-b06b3a591d63', '9746174f-9385-489d-b35f-d19d1b234655', '56c9fb19-68a3-4d7b-a961-cc191252ad68', 'ff00260b-b2c2-4993-ab32-0112e4f8c3f2', '7204338f-414e-494e-be43-6262b15f1598', 'f10e0ae0-0c15-4f6f-be87-169bfc7e627f', '61811ce0-3f97-4eff-a7e9-250e4edcd66a', '45a828ba-a4c5-4790-8064-8d4c4c4f9ace', '3dfeaa1f-e27b-4a24-9dfc-93dc21a941bf', 'b48af6ef-e4c1-4465-820d-9d3b57c5def7', '974149a6-8d98-474b-ad49-104ebe9e72e5', 'a05fc696-510b-4638-8b19-f515014673e4']"
Zara,https://www.zara.com/us/en/deconstructed-blazer-limited-edition-p03692903.html,311307519-400-1,DECONSTRUCTED BLAZER LIMITED EDITION,"Blazer made with 32% wool fabric. Notched lapel collar and long sleeves with buttoned slit cuffs. Front vents to create a cape style blazer. Captures the aesthetic of menswear style tailoring and craftsmanship of the 20th century. This blazer displays the fundamentals of sewing and design of the blazers over decades. Front flap pockets and chest welt pocket. 
Its square shape and structured silhouette combines herringbone wool, flannel, and pinstripes in gray and navy colors, with elements such as white threading with which were cut and interwoven with other materials. Tonal matching fabric lining. Front button closure.",499,USD,"['https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_1_1_1.jpg?ts=1701278502025', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_2_1_1.jpg?ts=1701278501830', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_2_2_1.jpg?ts=1701278502155', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_1_1.jpg?ts=1701796151609', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_2_1.jpg?ts=1701796151854', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_3_1.jpg?ts=1701796152863', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_4_1.jpg?ts=1701796153249', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_5_1.jpg?ts=1701796153045', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_6_1.jpg?ts=1701796153712', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_8_1.jpg?ts=1701796153019', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_9_1.jpg?ts=1701796153053', 'https://static.zara.net/photos///2024/V/0/1/p/3692/903/400/2/w/1920/3692903400_6_10_1.jpg?ts=1701796153711']",2024-02-19 9:03:16,blazers,WOMAN,,"['5a5726a2-3e9c-4fc0-a584-561aeac89378', '9f706956-1daa-49a0-be6f-2342b09d1250', '0cc517bc-3cc3-4095-b6e9-86e9409df3b5', '6521b135-6df4-4c7a-a565-80e023936a58', '7b7cb53c-c1ba-4fb6-905e-7c541283ba35', '0b6209ef-2f95-42b3-a239-06c019f2b57d', '3dafdf26-04e2-4689-bb51-045b7953975e', '5cf98e6e-6ec3-428c-8b81-d44f0d5ddaf2', 'b37af20f-6163-43ea-b557-9d483810b24f', '3c361e3d-b416-46a3-a4a4-e51102aa743a', '05ceff86-fa87-4110-9f03-ed102c90726b', '14ae4c77-9872-4efa-8ff9-b4b9e68b22b3']"
